"dogid","personid"
393,470
300,577
721,629
896,910
323,337
944,162
954,946
244,456
93,763
998,1053
544,810
563,851
568,857
294,686
853,467
649,548
885,362
91,691
779,1044
84,365
368,77
801,556
754,361
237,164
397,8
911,29
378,712
971,385
820,127
720,774
920,258
222,320
747,376
929,957
243,144
554,681
908,870
375,635
333,303
219,592
880,221
361,866
936,374
743,875
552,163
317,883
542,693
616,949
706,410
498,81
311,951
468,66
79,260
664,755
177,687
42,624
53,1089
892,1075
615,627
329,69
656,433
776,740
909,733
797,1037
725,845
221,332
570,418
692,110
175,534
45,860
430,115
147,178
109,1081
574,689
390,95
939,572
516,383
201,561
321,513
166,349
970,42
640,999
85,638
588,21
283,678
16,536
394,1043
627,89
291,497
287,503
900,22
365,237
540,364
133,1005
121,1
738,1078
956,113
730,363
235,1032
31,505
77,662
796,283
966,388
251,738
260,250
242,795
364,1006
662,941
241,881
105,802
942,1091
993,425
856,573
72,473
648,834
798,341
478,1050
587,256
290,916
67,848
298,37
110,633
6,983
857,298
915,692
188,533
975,859
414,152
205,1060
823,571
904,725
190,329
296,909
514,379
131,779
875,574
451,891
101,231
419,1083
617,835
383,101
455,39
559,1072
302,549
699,253
35,903
543,1042
997,777
160,484
220,246
791,675
665,718
650,770
888,598
471,597
684,171
843,229
26,72
415,399
818,463
150,210
769,264
265,347
12,183
108,108
964,889
531,4
590,919
870,1092
62,442
898,342
828,451
924,952
257,46
71,261
483,698
102,1015
822,18
817,19
117,122
490,828
176,170
874,443
783,1085
729,195
163,444
835,727
969,143
984,616
816,217
673,645
914,1031
99,145
735,923
955,937
182,642
859,447
254,955
269,541
607,488
315,535
917,232
925,78
537,801
620,677
450,55
622,935
787,76
58,962
477,312
61,292
903,355
30,739
355,315
753,817
759,1021
529,222
100,942
593,274
69,1100
189,784
538,177
502,377
553,407
247,174
832,604
838,575
180,710
360,950
961,1018
145,1057
556,538
234,208
292,278
825,745
25,901
482,477
887,83
780,586
331,104
506,416
410,982
215,15
367,769
814,626
495,537
819,386
844,212
38,310
57,334
456,70
236,26
652,494
162,1048
49,669
356,302
2,290
912,611
193,203
457,885
381,621
829,434
232,880
800,1049
758,841
171,492
396,664
792,139
660,809
60,578
547,788
479,397
74,959
959,820
782,988
877,584
351,323
526,527
906,990
999,1026
229,455
380,198
854,904
349,294
772,466
677,117
705,343
186,84
314,330
248,922
206,799
126,396
989,1056
418,296
931,766
702,926
421,652
212,620
376,558
114,542
957,286
328,800
986,551
346,553
672,634
723,1019
202,914
583,265
362,20
789,390
473,156
913,275
387,519
403,625
836,1087
461,695
960,344
449,400
142,109
8,1029
876,128
211,908
685,540
748,60
149,1041
293,304
289,1068
374,971
928,313
259,239
871,17
991,892
412,285
382,517
511,62
534,701
303,628
696,509
977,305
872,649
299,196
879,57
94,58
968,803
373,1033
44,345
841,619
809,781
127,730
340,30
812,850
597,609
301,249
922,898
724,756
873,842
530,570
288,63
739,227
270,760
496,886
700,309
195,34
338,318
520,849
761,593
3,531
279,897
513,650
286,852
194,557
934,1069
231,357
130,723
256,868
551,125
280,805
433,223
88,925
766,877
63,717
319,637
425,615
281,92
744,568
982,1059
952,933
661,974
371,837
638,831
891,404
73,360
184,32
129,394
881,1097
794,435
682,623
89,780
199,510
518,796
357,550
756,52
9,91
11,452
757,732
98,1080
943,6
644,821
633,511
884,291
584,191
643,825
353,522
663,833
889,661
196,697
226,606
703,995
452,1073
846,685
978,119
916,1086
996,197
52,61
695,853
972,981
833,194
973,216
144,469
522,395
401,49
467,33
462,785
580,504
14,333
407,656
940,422
675,524
632,1002
436,3
153,646
339,947
994,1052
528,235
571,479
621,219
470,472
494,872
167,884
710,281
420,928
850,660
799,847
546,958
609,353
19,843
717,867
899,844
849,489
118,481
802,806
599,972
555,214
493,429
459,114
804,56
336,48
623,401
128,580
834,461
310,1047
512,255
751,226
907,776
213,682
788,233
107,381
930,9
59,359
46,773
507,502
704,613
446,40
465,424
50,706
274,567
313,854
839,899
565,984
771,272
713,411
352,840
228,417
501,247
767,427
579,1038
161,1093
890,552
923,913
119,617
657,10
384,871
320,370
233,965
646,790
937,508
659,153
344,992
676,266
655,658
214,1054
262,560
369,51
611,168
572,954
745,269
626,813
558,665
324,12
170,317
778,1012
337,1003
670,672
774,562
708,284
464,707
218,471
604,814
564,506
805,818
628,240
678,673
613,896
734,882
123,103
509,432
4,991
918,713
765,351
958,1017
76,939
974,1061
878,772
217,751
271,964
831,775
245,430
223,679
560,87
20,11
113,234
210,251
569,902
97,716
426,1070
87,683
749,758
536,137
354,789
437,827
272,368
322,403
408,688
686,419
637,636
169,743
225,1062
400,346
474,612
148,393
480,601
690,846
504,398
671,149
392,262
527,159
273,192
165,651
775,1030
278,271
151,28
239,762
595,876
463,931
185,715
762,50
698,618
541,154
103,181
370,514
562,565
48,943
116,888
605,968
386,180
636,382
372,856
1,496
246,446
524,890
603,719
120,161
40,475
36,878
689,582
741,998
159,894
312,482
268,270
155,146
56,676
112,420
1000,797
813,99
13,220
39,366
447,437
187,23
295,405
136,276
867,826
933,555
691,1009
858,708
795,911
385,282
824,709
894,927
275,744
55,978
919,640
895,248
781,735
146,13
104,75
358,136
862,530
466,977
227,588
70,516
726,54
106,641
379,579
567,311
688,5
250,644
5,963
926,501
431,811
950,391
687,1090
266,742
827,936
476,1046
581,670
238,199
80,529
631,483
68,107
409,648
803,53
882,583
484,129
764,279
927,832
826,215
707,236
945,855
173,714
807,985
66,280
192,581
424,438
523,539
578,402
439,36
487,460
635,819
728,1066
606,590
24,301
852,288
612,35
154,241
164,861
359,293
363,372
864,605
284,862
216,485
855,167
680,940
143,169
712,532
152,525
517,836
92,132
276,918
938,741
589,59
334,746
557,523
172,671
156,71
980,816
47,86
335,631
740,112
585,151
837,257
318,150
697,468
815,319
440,453
549,445
96,1099
65,189
582,200
510,731
654,767
763,830
350,245
719,1035
197,327
694,350
566,267
645,336
64,655
174,1096
845,491
736,782
619,864
600,339
987,1014
667,367
191,838
140,829
422,480
750,454
345,1065
679,786
752,1063
610,608
935,408
264,322
406,607
716,147
963,585
434,759
249,1040
366,316
962,1051
681,116
535,1028
258,879
488,1082
592,206
893,757
27,73
41,839
722,74
499,142
949,895
252,436
847,1045
921,176
693,956
454,591
561,905
307,753
125,602
429,979
790,668
714,387
550,917
411,120
17,121
869,518
731,921
83,1039
22,1004
868,289
32,498
711,546
481,696
445,1027
863,140
951,938
399,458
348,764
388,406
444,80
629,639
598,915
614,131
21,993
976,238
178,976
51,118
624,684
240,375
305,737
941,123
253,512
443,667
618,172
207,520
594,887
261,25
577,98
33,486
132,204
683,106
810,228
198,130
608,798
395,808
653,273
263,969
768,1098
413,768
830,462
95,643
203,126
500,653
448,93
330,761
947,412
137,308
135,465
141,791
840,674
138,1010
78,1020
848,190
573,1094
967,704
777,680
586,97
391,569
505,986
347,1001
596,148
405,970
905,373
821,138
979,493
901,259
732,967
458,371
785,690
669,415
10,252
7,378
733,186
469,711
486,175
423,188
282,440
389,749
306,736
402,722
642,1088
910,694
453,807
521,111
709,547
842,1008
15,27
601,945
965,96
309,182
866,920
332,65
625,960
224,158
43,515
432,207
988,566
545,160
515,1034
157,622
519,306
208,948
985,173
267,752
806,43
525,726
485,994
860,614
158,823
111,244
602,474
341,858
255,157
658,325
183,423
29,729
342,663
316,242
18,1076
784,705
641,1067
398,299
438,287
773,16
634,133
435,912
23,987
591,659
576,778
990,224
427,213
497,490
793,702
200,647
932,449
204,822
861,980
995,750
124,243
630,824
770,961
983,45
701,41
139,105
75,596
472,356
508,720
37,865
883,765
416,102
539,314
115,721
326,31
674,589
718,201
503,754
428,38
533,263
209,90
548,464
742,448
230,587
417,268
948,14
179,307
134,900
808,94
181,526
992,997
575,1055
715,44
441,100
727,324
475,166
297,973
532,953
865,507
34,869
811,85
377,989
668,930
737,82
168,277
81,457
327,703
404,7
343,326
851,724
277,141
755,450
90,354
442,135
897,1074
746,815
492,134
760,24
489,728
786,1023
285,218
953,654
666,699
981,595
651,544
325,554
886,439
28,804
639,295
308,932
122,478
82,211
946,1011
902,787
460,748
54,1077
86,495
304,545
491,1079
647,358
